user_id,screen_small_minutes,screen_large_minutes,movement_light_minutes,movement_medium_minutes,movement_heavy_minutes,caffeine_events,alcohol_events
user_1,45.0,13.0,10.0,10.0,130.0,9,0
user_2,30.0,2.0,17.0,0.0,52.0,0,2
user_3,40.0,20.0,20.0,55.0,55.0,0,0
user_4,0.0,10.0,0.0,0.0,110.0,0,2
user_5,0.0,20.0,0.0,0.0,120.0,0,0
user_6,169.0,2.0,0.0,15.0,95.0,0,0
user_7,120.0,0.0,0.0,0.0,180.0,0,2
user_8,55.0,40.0,0.0,75.0,80.0,0,2
user_9,90.0,0.0,0.0,60.0,120.0,0,2
user_10,0.0,15.0,40.0,0.0,90.0,4,0
user_12,70.0,35.0,0.0,40.0,95.0,0,3
user_13,0.0,0.0,0.0,0.0,150.0,0,0
user_14,118.0,0.0,0.0,0.0,58.0,0,1
user_15,0.0,30.0,0.0,120.0,70.0,0,2
user_16,120.0,30.0,0.0,0.0,95.0,0,2
user_17,0.0,51.0,0.0,70.0,105.0,0,2
user_18,0.0,15.0,0.0,0.0,40.0,0,3
user_19,65.0,0.0,0.0,0.0,95.0,0,2
user_20,120.0,48.0,0.0,15.0,82.0,0,2
user_21,0.0,40.0,0.0,0.0,80.0,0,0
user_22,0.0,0.0,0.0,0.0,80.0,0,0
